epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4295,1.81269,0.78126,0.42261,1.40782,1.72937,0.88092,0.93482,0.93706,0.51597,0.89951,0.9531,0.96358,0.92495,1.55042,0.26861,0.02805,1.05544,1.51188,0.000659091,0.000659091,0.000659091
2,54.3734,1.54215,0.29891,0.22289,0.84787,1.48165,0.9487,0.94277,0.95315,0.45064,0.95601,0.96343,0.9723,0.94711,1.87176,0.24026,0.00924,0.84423,1.66086,0.00131701,0.00131701,0.00131701
3,79.4709,1.51218,0.24364,0.13917,0.82011,1.45805,0.93532,0.9539,0.96591,0.52428,0.94375,0.96022,0.9737,0.95326,1.56976,0.22923,0.01518,0.84401,1.47652,0.00196612,0.00196612,0.00196612
4,104.884,1.49684,0.2268,0.1252,0.79042,1.45471,0.95361,0.9682,0.97493,0.57353,0.95923,0.9725,0.98049,0.97288,1.45416,0.12565,0.00931,0.63642,1.3916,0.0019604,0.0019604,0.0019604
5,129.896,1.46704,0.20791,0.11043,0.76626,1.4389,0.95529,0.97456,0.97592,0.55818,0.95872,0.97536,0.97858,0.97218,1.49521,0.12481,0.00486,0.63421,1.40553,0.0019472,0.0019472,0.0019472
6,154.828,1.43459,0.18708,0.10548,0.74612,1.42656,0.95314,0.97011,0.97376,0.54189,0.958,0.97059,0.98055,0.97132,1.52868,0.10847,0.00596,0.68772,1.43216,0.001934,0.001934,0.001934
7,179.869,1.42575,0.172,0.0977,0.72758,1.42537,0.92507,0.92687,0.93796,0.39755,0.95683,0.969,0.97749,0.96429,2.04152,0.15397,0.00636,0.72737,1.78167,0.0019208,0.0019208,0.0019208
8,204.904,1.39422,0.16495,0.09006,0.69993,1.39703,0.95794,0.97769,0.97809,0.5457,0.96258,0.98013,0.98203,0.97514,1.59176,0.10587,0.00645,0.59157,1.47044,0.0019076,0.0019076,0.0019076
9,229.832,1.3856,0.15869,0.08873,0.69792,1.39445,0.9571,0.969,0.97693,0.57998,0.95821,0.98417,0.98292,0.97743,1.46836,0.09051,0.006,0.5919,1.39093,0.0018944,0.0018944,0.0018944
10,254.97,1.38007,0.14801,0.08531,0.68632,1.39645,0.95886,0.97218,0.97418,0.54531,0.96479,0.97854,0.97916,0.97448,1.5838,0.0903,0.00386,0.61216,1.45895,0.0018812,0.0018812,0.0018812
11,279.975,1.36217,0.15574,0.08289,0.67699,1.3798,0.96272,0.98172,0.97652,0.58104,0.96411,0.98331,0.9804,0.97435,1.46664,0.09245,0.00352,0.57891,1.38873,0.001868,0.001868,0.001868
12,304.904,1.35646,0.14716,0.08557,0.67375,1.38169,0.95247,0.9716,0.97874,0.50537,0.96025,0.97938,0.98229,0.97694,1.70207,0.10207,0.00462,0.65109,1.56663,0.0018548,0.0018548,0.0018548
13,329.877,1.32719,0.13319,0.07604,0.64907,1.35347,0.95474,0.95573,0.96612,0.47691,0.9669,0.97528,0.97948,0.97222,1.81076,0.09842,0.00275,0.63209,1.63145,0.0018416,0.0018416,0.0018416
14,354.904,1.33867,0.14103,0.07963,0.65405,1.36932,0.95862,0.97297,0.97708,0.56096,0.96053,0.97536,0.98309,0.97853,1.55938,0.08484,0.00279,0.57803,1.43139,0.0018284,0.0018284,0.0018284
15,379.962,1.3242,0.12356,0.07805,0.64251,1.36228,0.96264,0.97615,0.98144,0.5866,0.96447,0.98569,0.98427,0.98054,1.50338,0.0817,0.00328,0.56614,1.40234,0.0018152,0.0018152,0.0018152
16,405.158,1.31576,0.12691,0.07781,0.64323,1.35603,0.95996,0.97615,0.97103,0.53648,0.96472,0.98251,0.98242,0.97627,1.61708,0.08832,0.00241,0.58067,1.46961,0.001802,0.001802,0.001802
17,430.145,1.3049,0.12447,0.07579,0.63802,1.35064,0.96083,0.97494,0.97035,0.54389,0.96406,0.98073,0.9791,0.97414,1.63988,0.08939,0.0034,0.59801,1.49242,0.0017888,0.0017888,0.0017888
18,455.136,1.31693,0.12105,0.07314,0.62871,1.35408,0.95872,0.98013,0.97881,0.54562,0.9612,0.9845,0.98402,0.97904,1.59553,0.0803,0.00331,0.57144,1.48858,0.0017756,0.0017756,0.0017756
19,480.047,1.27966,0.11595,0.07112,0.61575,1.33516,0.96047,0.96577,0.96988,0.52132,0.9669,0.97512,0.97932,0.97395,1.68414,0.09213,0.00329,0.59395,1.5415,0.0017624,0.0017624,0.0017624
20,504.973,1.26405,0.11099,0.07035,0.61699,1.32999,0.94952,0.96502,0.96568,0.47535,0.96047,0.97615,0.98178,0.97623,1.8275,0.10049,0.00538,0.61321,1.64533,0.0017492,0.0017492,0.0017492
21,529.928,1.25721,0.1109,0.06987,0.61491,1.32027,0.95908,0.98092,0.97057,0.53613,0.96435,0.98917,0.98139,0.97572,1.62171,0.08865,0.0042,0.58915,1.52058,0.001736,0.001736,0.001736
22,554.884,1.26107,0.11174,0.0659,0.60975,1.32516,0.95396,0.9718,0.9713,0.53952,0.96026,0.97953,0.98086,0.97556,1.64923,0.08304,0.00296,0.56061,1.51461,0.0017228,0.0017228,0.0017228
23,579.897,1.23858,0.11138,0.07032,0.60538,1.3142,0.95695,0.97933,0.97311,0.51517,0.95949,0.98728,0.98251,0.97805,1.65386,0.07099,0.00245,0.58082,1.51266,0.0017096,0.0017096,0.0017096
24,604.872,1.23099,0.1097,0.06671,0.59642,1.30063,0.9586,0.97456,0.97477,0.51227,0.96328,0.97615,0.98335,0.97848,1.74385,0.07879,0.00366,0.59236,1.55125,0.0016964,0.0016964,0.0016964
25,629.8,1.22996,0.10678,0.06617,0.59058,1.30297,0.96095,0.97816,0.97898,0.56794,0.95893,0.98092,0.98184,0.97723,1.56816,0.08694,0.0017,0.56127,1.44612,0.0016832,0.0016832,0.0016832
26,654.797,1.22122,0.10164,0.0652,0.59149,1.29262,0.95651,0.97456,0.97075,0.49551,0.96316,0.98172,0.98172,0.97609,1.74183,0.07355,0.0036,0.57545,1.55658,0.00167,0.00167,0.00167
27,679.787,1.18521,0.09739,0.06472,0.5734,1.27737,0.95472,0.97208,0.97225,0.51892,0.96704,0.98092,0.98242,0.97708,1.76165,0.08421,0.00408,0.58181,1.59107,0.0016568,0.0016568,0.0016568
28,704.78,1.18953,0.10778,0.0669,0.58277,1.27488,0.96015,0.98013,0.97182,0.54977,0.96427,0.98172,0.98145,0.97601,1.56763,0.07385,0.00312,0.56108,1.45472,0.0016436,0.0016436,0.0016436
29,729.784,1.1783,0.09679,0.06207,0.57714,1.27531,0.95339,0.98331,0.976,0.5536,0.96482,0.98649,0.98479,0.98111,1.61183,0.07063,0.00224,0.56986,1.49502,0.0016304,0.0016304,0.0016304
30,754.78,1.16107,0.09523,0.06258,0.56855,1.26256,0.95664,0.97138,0.96969,0.51288,0.96794,0.9849,0.9815,0.97609,1.70789,0.07346,0.00234,0.57192,1.58041,0.0016172,0.0016172,0.0016172
31,779.716,1.1584,0.09859,0.06877,0.57105,1.25709,0.95062,0.97934,0.96969,0.56245,0.96313,0.97456,0.9795,0.9738,1.57352,0.07372,0.00203,0.54656,1.45962,0.001604,0.001604,0.001604
32,804.664,1.13502,0.09597,0.06162,0.55961,1.24073,0.95766,0.97099,0.97013,0.5225,0.95608,0.98643,0.98048,0.97428,1.67081,0.07815,0.00212,0.56814,1.5402,0.0015908,0.0015908,0.0015908
33,829.594,1.15048,0.09931,0.06414,0.56038,1.24826,0.96395,0.97778,0.9749,0.55799,0.96714,0.98256,0.98373,0.9796,1.58214,0.07351,0.00253,0.551,1.47608,0.0015776,0.0015776,0.0015776
34,854.538,1.1394,0.09881,0.06432,0.55076,1.23748,0.94639,0.96502,0.9606,0.45544,0.96491,0.97854,0.9811,0.97332,1.86488,0.09763,0.00419,0.61419,1.66998,0.0015644,0.0015644,0.0015644
35,879.415,1.11596,0.09002,0.06355,0.5471,1.22526,0.96622,0.97774,0.97983,0.54491,0.96028,0.98569,0.98215,0.97848,1.60135,0.06983,0.00248,0.5466,1.49679,0.0015512,0.0015512,0.0015512
