epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.4964,2.21856,1.46019,0.70488,1.9787,2.21924,0.94932,0.92276,0.96787,0.51081,0.94045,0.91218,0.95415,0.89009,1.61193,0.51957,0.29712,0.74878,1.60827,0.00199237,0.000664122,0.00199237,0.000664122,0.00199237,0.000664122,0.00199237,0.000664122
2,97.697,1.57648,0.44894,0.35972,0.82753,1.51462,0.96653,0.96469,0.97813,0.55566,0.96863,0.96701,0.97878,0.97024,1.51988,0.18636,0.07773,0.60082,1.49434,0.00396602,0.00132201,0.00396602,0.00132201,0.00396602,0.00132201,0.00396602,0.00132201
3,132.982,1.49096,0.27607,0.24122,0.73086,1.44236,0.96818,0.97564,0.97638,0.56851,0.97093,0.97613,0.98259,0.97604,1.48447,0.14075,0.03549,0.57983,1.47311,0.00591327,0.00197109,0.00591327,0.00197109,0.00591327,0.00197109,0.00591327,0.00197109
4,167.249,1.4485,0.21545,0.17606,0.69835,1.41044,0.97217,0.97234,0.98356,0.56347,0.97114,0.97286,0.98558,0.98199,1.53911,0.12099,0.01737,0.56831,1.50803,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
5,201.388,1.41702,0.19048,0.1314,0.67311,1.39205,0.97243,0.98193,0.97832,0.58745,0.97298,0.98191,0.9836,0.97734,1.47571,0.10292,0.01142,0.53854,1.46992,0.0058416,0.0019472,0.0058416,0.0019472,0.0058416,0.0019472,0.0058416,0.0019472
6,236.456,1.39389,0.16688,0.10338,0.65458,1.37636,0.97305,0.97972,0.98408,0.58296,0.9713,0.98191,0.98504,0.98228,1.49068,0.09321,0.00859,0.54002,1.46778,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934
7,270.742,1.37472,0.15204,0.09683,0.64092,1.37513,0.97445,0.98208,0.98225,0.58401,0.97929,0.98695,0.98883,0.98568,1.49046,0.08525,0.00656,0.52927,1.49265,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
8,305.068,1.35519,0.14145,0.08691,0.63198,1.36464,0.97432,0.98051,0.97714,0.58284,0.9778,0.98678,0.98549,0.98202,1.48421,0.08232,0.00918,0.52938,1.48709,0.0057228,0.0019076,0.0057228,0.0019076,0.0057228,0.0019076,0.0057228,0.0019076
9,338.334,1.33734,0.14117,0.08173,0.61894,1.34688,0.97565,0.9833,0.98455,0.58669,0.97574,0.9833,0.98398,0.98114,1.45738,0.08214,0.00741,0.53546,1.4628,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944
10,371.954,1.31904,0.13043,0.08331,0.61547,1.34841,0.97321,0.97982,0.97842,0.58839,0.97483,0.98539,0.98504,0.98168,1.45936,0.08044,0.00492,0.52099,1.46315,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
