epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7783,1.81274,0.79159,0.41566,1.37827,1.74106,0.93542,0.92925,0.96198,0.47767,0.94909,0.94197,0.9758,0.92878,1.62911,0.32089,0.03,1.10007,1.55637,0.000659794,0.000659794,0.000659794
2,56.8658,1.55926,0.3073,0.22295,0.88423,1.49579,0.91471,0.95481,0.95421,0.53102,0.92602,0.96517,0.97106,0.95391,1.46668,0.18188,0.00312,0.73889,1.40032,0.00131771,0.00131771,0.00131771
3,82.9252,1.5417,0.27856,0.15348,0.86003,1.49393,0.94915,0.96502,0.97262,0.54272,0.95653,0.97059,0.98,0.96296,1.49104,0.18869,0.00402,0.89013,1.41792,0.00196682,0.00196682,0.00196682
4,108.961,1.50379,0.2467,0.13298,0.81723,1.47256,0.94682,0.95866,0.96986,0.56054,0.95566,0.9682,0.97909,0.96804,1.44154,0.1529,0.00413,0.66755,1.39611,0.0019604,0.0019604,0.0019604
5,135.074,1.49567,0.2205,0.1202,0.78811,1.47245,0.9487,0.97059,0.97485,0.56747,0.95601,0.97854,0.98129,0.97557,1.51307,0.11769,0.00323,0.64761,1.41733,0.0019472,0.0019472,0.0019472
6,161.472,1.45175,0.2133,0.11422,0.77128,1.44862,0.9513,0.9531,0.96771,0.51979,0.95673,0.96677,0.97817,0.97182,1.64324,0.12314,0.0038,0.65138,1.5136,0.001934,0.001934,0.001934
7,187.71,1.43835,0.18102,0.10461,0.74729,1.44648,0.95911,0.97615,0.97753,0.58683,0.96104,0.97774,0.98101,0.97565,1.45254,0.09864,0.00221,0.61122,1.40303,0.0019208,0.0019208,0.0019208
8,214.119,1.43713,0.18194,0.10101,0.72882,1.43914,0.96532,0.97218,0.97665,0.58689,0.96611,0.97297,0.97764,0.97198,1.42251,0.10626,0.00289,0.59951,1.37765,0.0019076,0.0019076,0.0019076
9,240.449,1.42181,0.1695,0.09919,0.72591,1.42935,0.94641,0.9686,0.97112,0.54561,0.95029,0.97258,0.97838,0.97164,1.49625,0.10741,0.00574,0.62218,1.42526,0.0018944,0.0018944,0.0018944
10,266.849,1.40854,0.15978,0.0863,0.71199,1.42261,0.95705,0.96502,0.96946,0.48241,0.96288,0.97774,0.97793,0.9724,1.78317,0.1075,0.00554,0.65461,1.5773,0.0018812,0.0018812,0.0018812
11,293.235,1.40187,0.15381,0.09078,0.70134,1.41166,0.96369,0.97456,0.97802,0.57144,0.96335,0.9821,0.98147,0.977,1.51633,0.09035,0.00313,0.6117,1.44561,0.001868,0.001868,0.001868
12,319.724,1.38104,0.14923,0.08849,0.68752,1.40555,0.95856,0.9682,0.97457,0.57121,0.96261,0.97456,0.98033,0.97371,1.52023,0.09347,0.00345,0.60784,1.4413,0.0018548,0.0018548,0.0018548
13,346.281,1.38176,0.15561,0.08908,0.6999,1.40808,0.95925,0.97302,0.97421,0.55071,0.95838,0.97774,0.98038,0.97539,1.56081,0.08687,0.00236,0.5845,1.44406,0.0018416,0.0018416,0.0018416
14,372.764,1.35102,0.1466,0.08374,0.66751,1.38573,0.95916,0.97933,0.97868,0.58416,0.96305,0.98331,0.98234,0.97748,1.51509,0.07955,0.00307,0.56672,1.43211,0.0018284,0.0018284,0.0018284
15,399.274,1.35709,0.14285,0.08322,0.67122,1.3921,0.96788,0.9682,0.97098,0.53352,0.96817,0.97536,0.98141,0.9758,1.61611,0.08791,0.00287,0.59047,1.48909,0.0018152,0.0018152,0.0018152
16,425.769,1.33512,0.13805,0.08332,0.6635,1.37169,0.95868,0.97456,0.97643,0.54927,0.9665,0.98251,0.98069,0.97644,1.57318,0.08677,0.00546,0.57782,1.44221,0.001802,0.001802,0.001802
17,452.279,1.33123,0.12534,0.08025,0.64867,1.37238,0.96371,0.98251,0.97936,0.56846,0.96452,0.9841,0.98168,0.97762,1.54555,0.07972,0.00374,0.56644,1.42476,0.0017888,0.0017888,0.0017888
18,478.837,1.3132,0.13381,0.07948,0.64453,1.36309,0.95859,0.97528,0.97781,0.55193,0.96402,0.97976,0.98155,0.97674,1.54473,0.08444,0.00275,0.56628,1.43187,0.0017756,0.0017756,0.0017756
19,505.355,1.32381,0.12577,0.07626,0.64048,1.37474,0.9596,0.98013,0.97997,0.58731,0.96234,0.98172,0.98233,0.97875,1.49048,0.08053,0.00344,0.56653,1.39067,0.0017624,0.0017624,0.0017624
