epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2887,1.88003,0.86769,0.45326,1.48643,1.80029,0.94043,0.95167,0.95853,0.46384,0.95193,0.96837,0.97332,0.94443,1.79533,0.29433,0.08507,0.9476,1.63,0.000656566,0.000656566,0.000656566
2,41.4334,1.55142,0.32128,0.26528,0.88023,1.50058,0.94983,0.93172,0.96062,0.50035,0.95163,0.93347,0.97177,0.92361,1.63121,0.26731,0.00842,0.87869,1.50671,0.0013145,0.0013145,0.0013145
3,59.6416,1.51796,0.2704,0.17489,0.8161,1.46983,0.94159,0.9587,0.96818,0.51197,0.94591,0.96309,0.97322,0.95545,1.62154,0.18569,0.00381,0.84998,1.51779,0.00196363,0.00196363,0.00196363
4,77.705,1.52035,0.25361,0.13361,0.82018,1.478,0.94332,0.96485,0.97276,0.48436,0.94504,0.96661,0.97681,0.94791,1.7108,0.21522,0.00476,0.75482,1.55702,0.0019604,0.0019604,0.0019604
5,95.7406,1.46067,0.21528,0.12123,0.76422,1.44095,0.9475,0.96661,0.96546,0.50273,0.95687,0.97627,0.97597,0.96609,1.63448,0.14092,0.01194,0.65314,1.47947,0.0019472,0.0019472,0.0019472
6,114.129,1.46059,0.20394,0.10787,0.76358,1.43384,0.94811,0.96397,0.96142,0.45363,0.95764,0.97336,0.97599,0.96724,1.75781,0.13323,0.00723,0.71624,1.58403,0.001934,0.001934,0.001934
7,132.682,1.40242,0.1864,0.10201,0.72313,1.40742,0.94221,0.93849,0.95207,0.43692,0.96052,0.95694,0.97454,0.96477,1.92746,0.13567,0.00849,0.69492,1.65037,0.0019208,0.0019208,0.0019208
8,151.412,1.42827,0.19056,0.10132,0.72993,1.42875,0.96016,0.97411,0.96828,0.5622,0.9635,0.97431,0.9745,0.96663,1.4045,0.11279,0.00412,0.64382,1.34202,0.0019076,0.0019076,0.0019076
9,170.287,1.38566,0.16624,0.09475,0.69687,1.39962,0.95612,0.971,0.97442,0.54527,0.96361,0.97891,0.98068,0.97452,1.5483,0.12031,0.00474,0.59799,1.42337,0.0018944,0.0018944,0.0018944
10,188.895,1.36498,0.16235,0.08652,0.68835,1.3843,0.94957,0.97627,0.96969,0.51344,0.95793,0.98506,0.97806,0.97118,1.63154,0.11608,0.00529,0.6198,1.48939,0.0018812,0.0018812,0.0018812
11,207.48,1.36736,0.16007,0.08871,0.6903,1.38343,0.94296,0.95881,0.96148,0.4452,0.96074,0.97803,0.97816,0.96415,1.84084,0.13512,0.00827,0.68195,1.63727,0.001868,0.001868,0.001868
12,226.091,1.35842,0.15585,0.08926,0.68088,1.38357,0.95625,0.97943,0.97282,0.57491,0.9631,0.98623,0.98123,0.9761,1.43908,0.09557,0.00462,0.58903,1.35111,0.0018548,0.0018548,0.0018548
13,244.921,1.35428,0.14981,0.08254,0.67635,1.38062,0.94122,0.94279,0.95339,0.40854,0.96169,0.97062,0.98055,0.97011,2.0108,0.14283,0.0047,0.68519,1.77278,0.0018416,0.0018416,0.0018416
14,263.578,1.32893,0.14105,0.08152,0.65985,1.36672,0.95262,0.97167,0.97039,0.54008,0.95874,0.98005,0.98098,0.97307,1.55734,0.1057,0.00348,0.57533,1.44287,0.0018284,0.0018284,0.0018284
15,282.264,1.31693,0.14099,0.08448,0.65661,1.35944,0.95448,0.97657,0.96809,0.50098,0.95706,0.97921,0.97773,0.97215,1.66321,0.10239,0.00282,0.59074,1.49572,0.0018152,0.0018152,0.0018152
16,300.941,1.30261,0.1315,0.07615,0.63815,1.34372,0.94894,0.97995,0.96959,0.53936,0.95428,0.98506,0.97611,0.97087,1.574,0.10308,0.00358,0.5993,1.44907,0.001802,0.001802,0.001802
17,319.626,1.29469,0.13764,0.07733,0.64011,1.34387,0.95952,0.96924,0.96921,0.50915,0.96387,0.97364,0.97888,0.97338,1.70077,0.10403,0.0032,0.59036,1.5046,0.0017888,0.0017888,0.0017888
18,338.318,1.28523,0.13202,0.07784,0.63214,1.33489,0.961,0.9745,0.96738,0.5221,0.96791,0.9806,0.97669,0.97115,1.60118,0.09902,0.00372,0.57766,1.45341,0.0017756,0.0017756,0.0017756
19,356.997,1.26279,0.12068,0.07186,0.62011,1.32644,0.95713,0.9754,0.9716,0.568,0.96038,0.97987,0.98064,0.97535,1.49201,0.0943,0.00171,0.55529,1.38949,0.0017624,0.0017624,0.0017624
