epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6607,1.82649,0.80516,0.42129,1.41385,1.74658,0.92401,0.92107,0.94973,0.4682,0.9366,0.92604,0.96071,0.8898,1.71086,0.33426,0.02739,1.1538,1.70073,0.000659649,0.000659649,0.000659649
2,59.0225,1.5767,0.313,0.23035,0.89229,1.51658,0.93527,0.94295,0.97157,0.52357,0.93109,0.94048,0.971,0.94248,1.57176,0.24753,0.01291,0.82412,1.58247,0.00131756,0.00131756,0.00131756
3,86.7022,1.54694,0.29344,0.15867,0.86768,1.50133,0.94287,0.9248,0.95629,0.51312,0.9492,0.93101,0.96281,0.94387,1.52527,0.25823,0.00691,0.84485,1.52142,0.00196668,0.00196668,0.00196668
4,114.84,1.53593,0.24801,0.13633,0.84064,1.50105,0.9183,0.94303,0.95988,0.54249,0.93013,0.94779,0.97183,0.95684,1.49492,0.20043,0.00464,0.77103,1.51837,0.0019604,0.0019604,0.0019604
5,143.212,1.50286,0.22093,0.11716,0.80727,1.47166,0.95158,0.9509,0.97286,0.5067,0.95721,0.95938,0.98011,0.9688,1.60246,0.17498,0.00417,0.71274,1.56618,0.0019472,0.0019472,0.0019472
6,171.094,1.48071,0.20644,0.11701,0.77926,1.46717,0.95028,0.96147,0.97278,0.55832,0.95846,0.96395,0.97619,0.96948,1.49432,0.16558,0.00343,0.63165,1.49403,0.001934,0.001934,0.001934
7,199.21,1.45803,0.19079,0.10802,0.75454,1.44496,0.96154,0.96271,0.96869,0.53595,0.964,0.96517,0.97499,0.96829,1.57882,0.14423,0.0087,0.64835,1.5553,0.0019208,0.0019208,0.0019208
8,227.259,1.44801,0.18695,0.10585,0.74919,1.44753,0.96319,0.95956,0.96638,0.51124,0.97119,0.96384,0.98105,0.97059,1.61642,0.14975,0.00602,0.64814,1.56621,0.0019076,0.0019076,0.0019076
9,255.255,1.45592,0.18053,0.09986,0.74571,1.4498,0.96193,0.96768,0.97738,0.55255,0.9644,0.97017,0.98064,0.97495,1.53523,0.14341,0.00577,0.61358,1.50561,0.0018944,0.0018944,0.0018944
10,283.254,1.42338,0.16201,0.0942,0.72077,1.43558,0.95564,0.96399,0.97498,0.52099,0.9631,0.97327,0.98263,0.97535,1.63839,0.13976,0.01083,0.6466,1.58157,0.0018812,0.0018812,0.0018812
11,311.237,1.42267,0.16342,0.09069,0.7156,1.42269,0.96169,0.96741,0.97034,0.53009,0.9691,0.97473,0.97945,0.97222,1.60926,0.14038,0.01047,0.61324,1.53896,0.001868,0.001868,0.001868
12,339.226,1.39648,0.1535,0.09535,0.695,1.40636,0.96329,0.9739,0.97579,0.53174,0.96556,0.97574,0.98108,0.97473,1.61433,0.13107,0.01192,0.59133,1.55297,0.0018548,0.0018548,0.0018548
13,367.185,1.38025,0.14823,0.08785,0.69162,1.40604,0.96913,0.97638,0.98035,0.56741,0.96918,0.97727,0.98309,0.97718,1.49103,0.11661,0.00443,0.57038,1.4773,0.0018416,0.0018416,0.0018416
14,395.468,1.37833,0.14671,0.09043,0.68915,1.40985,0.96134,0.95774,0.9715,0.50347,0.96536,0.96333,0.9765,0.96966,1.7016,0.13825,0.00543,0.61492,1.60476,0.0018284,0.0018284,0.0018284
15,423.475,1.37014,0.14442,0.08662,0.67922,1.4024,0.96595,0.96975,0.974,0.52355,0.97117,0.96955,0.98122,0.97397,1.61509,0.12673,0.00469,0.57707,1.55945,0.0018152,0.0018152,0.0018152
16,451.52,1.39518,0.14873,0.089,0.69564,1.40869,0.96311,0.96395,0.97551,0.55482,0.96559,0.96644,0.97935,0.97421,1.50209,0.1241,0.00374,0.57006,1.48179,0.001802,0.001802,0.001802
17,479.556,1.35386,0.1342,0.08262,0.65911,1.39093,0.96819,0.97825,0.9782,0.57185,0.96874,0.98384,0.98226,0.9782,1.49416,0.10558,0.00535,0.56657,1.47182,0.0017888,0.0017888,0.0017888
18,507.689,1.33536,0.12958,0.07702,0.65307,1.37038,0.96214,0.977,0.97988,0.58044,0.96703,0.98198,0.9846,0.9809,1.47706,0.1058,0.00166,0.56455,1.47407,0.0017756,0.0017756,0.0017756
19,535.767,1.33258,0.13623,0.08387,0.6586,1.38059,0.96677,0.977,0.97628,0.55134,0.96616,0.97638,0.98136,0.97628,1.55681,0.11015,0.007,0.56804,1.51677,0.0017624,0.0017624,0.0017624
20,563.718,1.3367,0.12725,0.07951,0.64799,1.37339,0.96199,0.97522,0.97466,0.51854,0.96628,0.97966,0.98156,0.97614,1.67153,0.11314,0.00779,0.58604,1.59284,0.0017492,0.0017492,0.0017492
21,591.819,1.32836,0.12815,0.08284,0.65144,1.38216,0.9663,0.97328,0.97721,0.54783,0.97216,0.97887,0.9835,0.97825,1.57524,0.09675,0.00243,0.5697,1.53237,0.001736,0.001736,0.001736
22,619.795,1.31099,0.12656,0.07902,0.63694,1.36511,0.96397,0.97328,0.97296,0.55565,0.97096,0.98011,0.98372,0.97843,1.52058,0.11904,0.0046,0.56288,1.51273,0.0017228,0.0017228,0.0017228
23,647.642,1.31591,0.12416,0.07777,0.63467,1.36276,0.9656,0.97706,0.98085,0.57295,0.96522,0.97887,0.97968,0.97565,1.48779,0.11658,0.00465,0.53316,1.47752,0.0017096,0.0017096,0.0017096
24,675.655,1.27869,0.11771,0.07327,0.6227,1.34033,0.96746,0.97763,0.9764,0.56028,0.96942,0.97949,0.98117,0.97581,1.56492,0.09852,0.00308,0.56241,1.5374,0.0016964,0.0016964,0.0016964
25,703.639,1.2943,0.1185,0.07713,0.62844,1.35018,0.96569,0.97971,0.97549,0.57226,0.96878,0.98346,0.98386,0.97909,1.48057,0.09461,0.00533,0.53376,1.46588,0.0016832,0.0016832,0.0016832
26,731.639,1.30111,0.12253,0.07718,0.62693,1.35435,0.96803,0.97858,0.97754,0.56673,0.97128,0.97825,0.98203,0.9758,1.51768,0.09675,0.01043,0.5469,1.50127,0.00167,0.00167,0.00167
27,759.575,1.26177,0.11329,0.07267,0.60593,1.32445,0.96274,0.9795,0.97295,0.57138,0.97236,0.98375,0.98229,0.97796,1.52129,0.09543,0.00276,0.54305,1.48895,0.0016568,0.0016568,0.0016568
28,787.576,1.27498,0.12375,0.07302,0.62245,1.32831,0.97066,0.97576,0.97729,0.54099,0.9733,0.97825,0.98309,0.97859,1.56291,0.09831,0.00383,0.55837,1.53302,0.0016436,0.0016436,0.0016436
29,815.515,1.256,0.11147,0.07355,0.61048,1.32226,0.96439,0.97615,0.97542,0.57427,0.96624,0.97839,0.98213,0.977,1.49737,0.09934,0.00464,0.54279,1.4891,0.0016304,0.0016304,0.0016304
30,843.553,1.24135,0.10709,0.06869,0.60447,1.31537,0.96018,0.97203,0.97053,0.5259,0.96976,0.97265,0.98045,0.97489,1.60434,0.10779,0.002,0.55682,1.55232,0.0016172,0.0016172,0.0016172
31,871.512,1.25254,0.11369,0.07177,0.6098,1.31877,0.96917,0.97638,0.98041,0.55255,0.97325,0.98011,0.9833,0.97879,1.57721,0.11062,0.00544,0.5473,1.54555,0.001604,0.001604,0.001604
32,899.483,1.22943,0.10837,0.07273,0.59556,1.31827,0.96568,0.9739,0.97299,0.57007,0.96881,0.98461,0.98275,0.9768,1.50552,0.10327,0.00667,0.53962,1.51033,0.0015908,0.0015908,0.0015908
33,927.508,1.2371,0.10498,0.07289,0.59751,1.314,0.97155,0.97614,0.97573,0.54612,0.97113,0.98272,0.98299,0.97738,1.56052,0.09099,0.00205,0.54144,1.52909,0.0015776,0.0015776,0.0015776
34,955.506,1.24011,0.1113,0.07439,0.59824,1.31613,0.96774,0.96944,0.97364,0.5804,0.97064,0.977,0.98161,0.97519,1.4635,0.11408,0.00493,0.52778,1.47514,0.0015644,0.0015644,0.0015644
35,983.467,1.21774,0.1035,0.06759,0.59662,1.3069,0.96565,0.97833,0.97576,0.56441,0.96731,0.98198,0.98378,0.9788,1.53122,0.08923,0.00396,0.5359,1.52055,0.0015512,0.0015512,0.0015512
36,1011.45,1.20283,0.1006,0.06638,0.57891,1.29798,0.96561,0.97739,0.97427,0.55545,0.97052,0.9826,0.98339,0.97825,1.56078,0.09894,0.00265,0.54521,1.55923,0.001538,0.001538,0.001538
37,1039.43,1.19589,0.10496,0.07083,0.58003,1.29231,0.97162,0.98446,0.97412,0.5524,0.97285,0.98571,0.98368,0.97916,1.55078,0.09912,0.00356,0.52762,1.52744,0.0015248,0.0015248,0.0015248
38,1067.49,1.19304,0.10629,0.07064,0.58272,1.29137,0.96854,0.97586,0.97648,0.56609,0.9741,0.9818,0.98392,0.97869,1.54496,0.10173,0.00292,0.52849,1.5382,0.0015116,0.0015116,0.0015116
39,1095.68,1.17555,0.10103,0.06793,0.57381,1.27759,0.9626,0.97887,0.97573,0.54836,0.96832,0.97887,0.98422,0.97892,1.54235,0.09391,0.00214,0.5323,1.533,0.0014984,0.0014984,0.0014984
40,1123.89,1.17182,0.09463,0.06646,0.5676,1.26994,0.96384,0.97949,0.97514,0.56699,0.97044,0.98633,0.98314,0.97961,1.52783,0.09408,0.00297,0.52412,1.52213,0.0014852,0.0014852,0.0014852
